Serviço de Telecomunicações;Número da Entidade;Nome/Razão Social;CNPJ;Estações Convencionais;Estações M2M;Total;Referência
Servico Movel Global por Satelite (SMGS);4440331;ARINC DO BRASIL SERVICOS DE TECNOLOGIA EM SISTEMAS LTDA;6,10306E+12;30;0;30;30/12/2019
Servico Movel Global por Satelite (SMGS);4021363;ARYCOM COMUNICAÇÃO VIA SATÉLITE LTDA;4,29583E+12;861;2;863;30/12/2019
Servico Movel Global por Satelite (SMGS);4194780;BLUE SKY NETWORK BRASIL COMUNICAÇÃO POR SATÉLITE LTDA;1,15565E+13;172;0;172;30/12/2019
Servico Movel Global por Satelite (SMGS);4295145;CAPROCK COMUNICAÇÕES DO BRASIL LTDA.;4,42228E+12;73;0;73;30/12/2019
Servico Movel Global por Satelite (SMGS);1181076;CLARO S.A.;4,04325E+13;0;0;0;30/12/2019
Servico Movel Global por Satelite (SMGS);4184548;ENGETEC TECNOLOGIA S.A.;1,07809E+13;0;0;0;30/12/2019
Servico Movel Global por Satelite (SMGS);4265661;GLOBALSAT BRASIL LTDA;2,02837E+13;967;7;974;30/12/2019
Servico Movel Global por Satelite (SMGS);1224190;GLOBALSTAR DO BRASIL S/A;2,23103E+12;6526;0;6526;30/12/2019
Servico Movel Global por Satelite (SMGS);4320999;GOGO BRASIL TELECOMUNICACOES LTDA.;2,31582E+13;150;0;150;30/12/2019
Servico Movel Global por Satelite (SMGS);4187954;HUGHES TELECOMUNICACOES DO BRASIL LTDA;5,20639E+12;3;5917;5920;30/12/2019
Servico Movel Global por Satelite (SMGS);4068998;ONIXSAT RASTREAMENTO DE VEICULOS LTDA;5,5204E+12;2412;2148;4560;30/12/2019
Servico Movel Global por Satelite (SMGS);4072154;PRINTSCOM RADIO E TELEVISAO LTDA;6,05479E+12;2;0;2;30/12/2019
Servico Movel Global por Satelite (SMGS);4274040;RIGNET SERVICOS DE TELECOMUNICACOES BRASIL LTDA;1,32316E+13;2;0;2;30/12/2019
Servico Movel Global por Satelite (SMGS);4191560;SATCOM DIRECT COMUNICACOES LTDA.;1,50986E+13;286;0;286;30/12/2019
Servico Movel Global por Satelite (SMGS);4061780;SITA INC DO BRASIL LTDA;3,5977E+12;246;0;246;30/12/2019
Servico Movel Global por Satelite (SMGS);4036085;TESACOM DO BRASIL COMUNICACOES LTDA;7,9842E+12;1295;0;1295;30/12/2019
Servico Movel Global por Satelite (SMGS);4358740;TRANSAT TELECOMUNICACOES VIA SATELITE EIRELI;2,15576E+13;15;7;22;30/12/2019
